pid,c,veracity,stimulus,share,aot,ideology,demrep,warm_repub,warm_democrat,social_conserv,economic_conserv,potus2016,potus2020,attention_score,attention_pass,o,e,a,n,age,gender,edu,concord,study,conserv,thermo
R_9S6hmaW2hh2PNND,5,0,fc3,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fc5,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fc9,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fc11,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fc24,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fc25,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fl7,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fl12,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fl14,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fl16,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fl17,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,0,fl19,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rc3,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rc5,1,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rc7,1,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rc14,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rc16,1,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rc22,1,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,0,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rl1,1,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rl2,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rl6,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rl8,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rl9,1,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_9S6hmaW2hh2PNND,5,1,rl18,0,6,2,1,0,100,2,2,Hillary Clinton,Joe Biden,1,1,4.16666666666667,2.5,4.83333333333333,1.08333333333333,41,0,2,1,Study 5,2,0
R_2R3OILRnmX9XUdD,3.08333333333333,0,fc3,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fc5,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fc9,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fc11,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fc24,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fc25,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fl7,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fl12,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fl14,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fl16,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fl17,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,0,fl19,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rc3,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rc5,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rc7,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rc14,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rc16,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rc22,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,0,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rl1,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rl2,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rl6,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rl8,0,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rl9,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2R3OILRnmX9XUdD,3.08333333333333,1,rl18,1,4.16666666666667,4,3,11,34,2,3,Other candidate,Joe Biden,1,1,3.91666666666667,2.08333333333333,3.58333333333333,3.75,34,1,4,1,Study 5,2.5,38.5
R_2zJdkZ7YKX5TXKg,3.75,0,fc3,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fc5,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fc9,1,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fc11,1,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fc24,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fc25,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fl7,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fl12,1,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fl14,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fl16,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fl17,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,0,fl19,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rc3,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rc5,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rc7,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rc14,1,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rc16,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rc22,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,0,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rl1,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rl2,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rl6,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rl8,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rl9,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_2zJdkZ7YKX5TXKg,3.75,1,rl18,0,4.83333333333333,4,2,50,63,3,3,Hillary Clinton,Joe Biden,1,1,4.91666666666667,4.25,3,1.5,36,1,5,1,Study 5,3,43.5
R_27BV68qjAHdp7vi,4.75,0,fc3,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fc5,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fc9,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fc11,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fc24,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fc25,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fl7,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fl12,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fl14,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fl16,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fl17,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,0,fl19,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rc3,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rc5,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rc7,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rc14,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rc16,1,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rc22,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,0,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rl1,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rl2,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rl6,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rl8,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rl9,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_27BV68qjAHdp7vi,4.75,1,rl18,0,2,4,3,0,0,3,3,I did not vote out of protest,I did not vote out of protest,1,1,4.83333333333333,2.58333333333333,3.25,1.33333333333333,43,0,5,1,Study 5,3,50
R_32PcVQQscMtFJ2V,4.16666666666667,0,fc3,0,5,3,4,35,35,2,4,"I did not vote, but I could have",Donald Trump,1,1,3.58333333333333,3.91666666666667,3.33333333333333,1.91666666666667,41,0,5,1,Study 5,3,50
R_32PcVQQscMtFJ2V,4.16666666666667,0,fc5,0,5,3,4,35,35,2,4,"I did not vote, but I could have",Donald Trump,1,1,3.58333333333333,3.91666666666667,3.33333333333333,1.91666666666667,41,0,5,1,Study 5,3,50
R_32PcVQQscMtFJ2V,4.16666666666667,0,fc9,0,5,3,4,35,35,2,4,"I did not vote, but I could have",Donald Trump,1,1,3.58333333333333,3.91666666666667,3.33333333333333,1.91666666666667,41,0,5,1,Study 5,3,50
R_32PcVQQscMtFJ2V,4.16666666666667,0,fc11,0,5,3,4,35,35,2,4,"I did not vote, but I could have",Donald Trump,1,1,3.58333333333333,3.91666666666667,3.33333333333333,1.91666666666667,41,0,5,1,Study 5,3,50
R_32PcVQQscMtFJ2V,4.16666666666667,0,fc24,0,5,3,4,35,35,2,4,"I did not vote, but I could have",Donald Trump,1,1,3.58333333333333,3.91666666666667,3.33333333333333,1.91666666666667,41,0,5,1,Study 5,3,50
