responseid,startdate,attention_score,attention_pass,headline_id,share_text,share,veracity,lean_liberal,lean_conservative,bfi_a,bfi_c,bfi_e,bfi_n,bfi_o,ctsq_aot,ctsq_cmt,ctsq_pet,ctsq_pit,gender,trans,age,race,edu,income,demrep_c,god,social_conserv,economic_conserv,risk,trust,warm_repub,warm_democrat,party,potus2016,potus2020,IP_Hub_recommend_block
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fc3,No,0,0,0,1,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fc5,No,0,0,0,1,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fc9,No,0,0,0,1,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fc11,No,0,0,0,1,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fc24,No,0,0,0,1,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fc25,No,0,0,0,1,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fl7,No,0,0,1,0,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fl12,No,0,0,1,0,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fl14,No,0,0,1,0,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
R_0VCgXLCP0zUqduF,2021-12-14T07:31:13Z,1,1,fl16,No,0,0,1,0,3.91666666666667,4.16666666666667,2.83333333333333,2.5,3.5,4,3.33333333333333,3,3.16666666666667,0,0,29,Black or African American,2,0,2,7,2,2,2,4,3,69,1,Hillary Clinton,Joe Biden,0
